Informant,State,Informant number,Response
AL484,AL,484,walk-out porch 
AL485,AL,485,L-shaped porch 
AL485,AL,485,screened-in porch 
AL485,AL,485,screened-in room 
AL485,AL,485,walk-out porch 
TN486,TN,486,gallery 
TN486,TN,486,screened-in porch 
TN487,TN,487,screened-in porch 
TN487,TN,487,walk-out porch 
TN488,TN,488,back porch 
TN488,TN,488,gallery 
TN489,TN,489,screened-in porch 
TN489,TN,489,wraparound porch 
TN490,TN,490,balcony 
TN490,TN,490,L-shaped porch 
TN490,TN,490,screened-in porch 
TN490,TN,490,wraparound porch 
TN490,TN,490,dv
TN491,TN,491,back porch 
TN491,TN,491,screened-in porch 
TN492,TN,492,front shed 
TN492,TN,492,screened-in porch 
TN493,TN,493,screened-in porch 
TN494,TN,494,screened-in porch 
TN495,TN,495,L-shaped porch 
TN495,TN,495,screened-in porch 
TN495,TN,495,dv
TN496,TN,496,balcony 
TN496,TN,496,L-shaped porch 
TN496,TN,496,screened-in porch 
TN497,TN,497,back porch 
TN498,TN,498,back porch 
TN498,TN,498,balcony 
TN498,TN,498,flat porch 
TN498,TN,498,screened-in porch 
TN498,TN,498,walk-out porch 
TN499,TN,499,back porch 
TN499,TN,499,balcony 
TN499,TN,499,screened-in porch 
TN500,TN,500,screened-in porch 
TN501,TN,501,balcony 
TN501,TN,501,screened-in porch 
TN502,TN,502,back porch 
TN502,TN,502,screened-in porch 
TN503,TN,503,screened-in porch 
TN503,TN,503,walk-out porch 
TN504,TN,504,back porch 
TN504,TN,504,balcony 
TN504,TN,504,gallery 
TN504,TN,504,dg
TN505,TN,505,back porch 
TN505,TN,505,screened-in porch 
TN506,TN,506,back porch 
TN506,TN,506,gallery 
TN506,TN,506,L-shaped porch 
TN506,TN,506,screened-in side porch 
TN507,TN,507,back porch 
TN507,TN,507,gallery 
TN507,TN,507,screened-in porch 
TN507,TN,507,walk-out porch 
TN508,TN,508,-
TN509,TN,509,gallery 
TN509,TN,509,screened-in porch 
TN509,TN,509,wraparound porch 
TN510,TN,510,back porch 
TN510,TN,510,screened-in porch 
TN511,TN,511,gallery 
TN511,TN,511,wraparound porch 
TN512,TN,512,back porch 
TN512,TN,512,screened-in porch 
TN513,TN,513,back porch 
TN513,TN,513,balcony 
TN513,TN,513,screened-in porch 
TN514,TN,514,back porch 
TN514,TN,514,gallery 
TN515,TN,515,balcony 
TN515,TN,515,circle porch 
TN515,TN,515,porch-like 
TN515,TN,515,screened-in porch 
TN516,TN,516,balcony 
TN516,TN,516,screened-in porch 
TN517,TN,517,back porch 
TN518,TN,518,screened-in porch 
TN519,TN,519,gallery 
TN519,TN,519,screened-in porch 
TN519,TN,519,shed 
TN519,TN,519,dj
MS520,MS,520,front shed 
MS520,MS,520,screened-in porch 
MS521,MS,521,gallery 
MS521,MS,521,screened-in porch 
MS521,MS,521,walk-out porch 
MS522,MS,522,balcony 
MS522,MS,522,screened-in porch 
MS522,MS,522,steps 
MS523,MS,523,back porch 
MS523,MS,523,balcony 
MS523,MS,523,screened-in porch 
MS524,MS,524,back porch 
MS524,MS,524,gallery 
MS524,MS,524,widow's perch 
MS525,MS,525,back porch 
MS525,MS,525,gallery 
MS525,MS,525,screened-in porch 
MS526,MS,526,L-shaped porch 
MS526,MS,526,screened-in porch 
MS526,MS,526,walk-out porch 
MS527,MS,527,back porch 
MS527,MS,527,gallery 
MS527,MS,527,rain porch 
MS527,MS,527,screened-in porch 
MS527,MS,527,upstairs piazza 
MS527,MS,527,walk-out porch 
MS527,MS,527,dt
MS528,MS,528,0
MS529,MS,529,back porch 
MS529,MS,529,gallery 
MS529,MS,529,walk-out porch 
MS530,MS,530,screened-in porch 
MS531,MS,531,gallery 
MS531,MS,531,screened-in porch 
MS532,MS,532,screened-in porch 
MS532,MS,532,steps 
MS533,MS,533,screened-in porch 
MS534,MS,534,gallery 
MS534,MS,534,screened porch 
MS534,MS,534,steps 
MS535,MS,535,back porch 
MS535,MS,535,L-shaped porch 
MS535,MS,535,screened-in porch 
MS535,MS,535,dv
MS536,MS,536,-
MS537,MS,537,-
MS538,MS,538,screened-in porch 
MS539,MS,539,back porch 
MS539,MS,539,screened-in porch 
MS540,MS,540,screened-in porch 
MS540,MS,540,steps 
MS541,MS,541,gallery 
MS541,MS,541,sit-out 
MS541,MS,541,wraparound porch 
MS542,MS,542,screened-in porch 
MS543,MS,543,screened-in porch 
MS543,MS,543,walk-out porch 
MS544,MS,544,back porch 
MS544,MS,544,gallery 
MS544,MS,544,screened-in porch 
MS544,MS,544,dh
MS545,MS,545,back porch 
MS545,MS,545,gallery 
MS545,MS,545,screened-in porch 
MS545,MS,545,walk-out porch 
MS546,MS,546,gallery 
MS546,MS,546,screened-in porch 
MS546,MS,546,dt
MS547,MS,547,balcony 
MS547,MS,547,gallery 
MS548,MS,548,L-shaped porch 
MS548,MS,548,screened-in porch 
MS549,MS,549,back porch 
MS549,MS,549,gallery 
MS549,MS,549,L-shaped porch 
MS549,MS,549,screened-in porch 
MS550,MS,550,screened-in porch 
MS551,MS,551,back gallery 
MS551,MS,551,back porch 
MS551,MS,551,gallery 
MS551,MS,551,L-shaped porch 
MS551,MS,551,screened-in porch 
MS552,MS,552,back porch 
MS552,MS,552,gallery 
MS552,MS,552,suspended porch 
MS553,MS,553,gallery 
MS553,MS,553,screened-in porch 
MS553,MS,553,side gallery 
MS554,MS,554,back porch 
MS554,MS,554,screened-in porch 
MS555,MS,555,L-shaped porch 
MS555,MS,555,screened-in porch 
MS556,MS,556,back porch 
MS556,MS,556,front shed 
MS556,MS,556,screened-in porch 
MS557,MS,557,back porch 
MS557,MS,557,gallery 
MS557,MS,557,screened-in porch 
MS558,MS,558,gallery 
MS558,MS,558,screened back porch 
MS558,MS,558,screened-in porch 
MS558,MS,558,widow's perch 
MS559,MS,559,back porch 
MS559,MS,559,screened-in porch 
MS560,MS,560,back porch 
MS560,MS,560,gallery 
MS561,MS,561,screened-in porch 
MS562,MS,562,back porch 
MS562,MS,562,gallery 
MS562,MS,562,L-shaped porch 
MS562,MS,562,side gallery 
MS563,MS,563,L-shaped porch 
MS563,MS,563,screened-in porch 
MS564,MS,564,screened-in porch 
MS564,MS,564,dv
MS565,MS,565,back porch 
MS565,MS,565,L-shaped porch 
MS565,MS,565,screened-in porch 
MS566,MS,566,L-shaped porch 
MS566,MS,566,screened-in porch 
MS567,MS,567,entrance porch way 
MS567,MS,567,gallery 
MS567,MS,567,screened-in porch 
MS567,MS,567,dz
MS568,MS,568,-
MS569,MS,569,back porch 
MS569,MS,569,gallery 
MS569,MS,569,L-shaped porch 
MS569,MS,569,screened-in porch 
MS570,MS,570,gallery 
MS570,MS,570,L-shaped porch 
MS570,MS,570,screened-in porch 
MS570,MS,570,widow's walk 
MS571,MS,571,back porch 
MS571,MS,571,screened-in porch 
MS572,MS,572,gallery 
MS572,MS,572,screened-in porch 
MS573,MS,573,L-shaped porch 
MS573,MS,573,screened-in porch 
MS574,MS,574,screened-in porch 
MS574,MS,574,shed porch 
MS574,MS,574,steps 
MS574,MS,574,well porch 
MS575,MS,575,Galerie (G) 
MS575,MS,575,L-shaped porch 
MS575,MS,575,screened-in porch 
MS576,MS,576,gallery 
MS576,MS,576,L-shaped porch 
MS576,MS,576,wraparound porch 
MS577,MS,577,-
MS578,MS,578,L-shaped porch 
MS578,MS,578,screened-in porch 
MS579,MS,579,back porch 
MS579,MS,579,L-shaped porch 
MS579,MS,579,screened-in porch 
MS580,MS,580,back porch 
MS580,MS,580,L-shaped porch 
MS580,MS,580,screened-in porch 
MS581,MS,581,porch 
MS581,MS,581,screened-in porch 
MS581,MS,581,upstairs balcony 
MS582,MS,582,L-shaped porch 
MS583,MS,583,L-shaped porch 
MS583,MS,583,screened-in porch 
MS584,MS,584,gallery 
MS584,MS,584,L-shaped porch 
MS585,MS,585,screened-in porch 
MS586,MS,586,gallery 
MS587,MS,587,back porch 
MS587,MS,587,L-shaped porch 
MS587,MS,587,screened-in porch 
MS588,MS,588,back porch 
MS588,MS,588,gallery 
MS588,MS,588,screened-in porch 
MS589,MS,589,screened-in porch 
MS590,MS,590,back porch 
MS590,MS,590,gallery 
MS590,MS,590,shed 
MS590,MS,590,side gallery 
MS590,MS,590,walk-out porch 
MS591,MS,591,back porch 
MS591,MS,591,balcony 
MS591,MS,591,screened-in porch 
MS591,MS,591,Southern-style porch 
MS592,MS,592,back porch 
MS592,MS,592,lean-to 
MS592,MS,592,screened-in porch 
MS592,MS,592,side gallery 
MS592,MS,592,wraparound porch 
MS593,MS,593,L-shaped porch 
MS593,MS,593,screened-in porch 
MS594,MS,594,L-shaped porch 
MS594,MS,594,screened-in porch 
MS595,MS,595,L-shaped porch 
MS595,MS,595,screened-in porch 
MS596,MS,596,L-shaped porch 
MS596,MS,596,screened-in porch 
MS597,MS,597,back gallery 
MS597,MS,597,Galerie (G) 
MS597,MS,597,gallery 
MS597,MS,597,L-shaped porch 
MS597,MS,597,screened-in porch 
MS598,MS,598,back porch 
MS598,MS,598,gallery 
MS598,MS,598,L-shaped porch 
MS598,MS,598,shed porch 
MS599,MS,599,back porch 
MS599,MS,599,balcony 
MS599,MS,599,gallery 
MS599,MS,599,screened-in porch 
MS599,MS,599,steps 
MS599,MS,599,dv
MS600,MS,600,back porch 
MS600,MS,600,screened-in porch 
MS601,MS,601,balcony 
MS601,MS,601,screened-in porch 
MS601,MS,601,screened-in side porch 
MS602,MS,602,screened-in porch 
MS603,MS,603,screened-in porch 
MS604,MS,604,L-shaped porch 
MS604,MS,604,screened porch 
MS604,MS,604,screened-in porch 
MS605,MS,605,back porch 
MS605,MS,605,gallery 
MS605,MS,605,L-shaped porch 
MS605,MS,605,upper gallery 
MS606,MS,606,back porch 
MS606,MS,606,gallery 
MS606,MS,606,L-shaped porch 
MS606,MS,606,screened-in porch 
MS607,MS,607,back porch 
MS607,MS,607,gallery 
MS607,MS,607,L-shaped porch 
MS607,MS,607,screened-in porch 
MS608,MS,608,back porch 
MS608,MS,608,gallery 
MS608,MS,608,L-shaped porch 
MS608,MS,608,screened-in porch 
MS609,MS,609,back porch 
MS609,MS,609,L-shaped porch 
MS610,MS,610,back porch 
MS610,MS,610,country-farmhouse porch 
MS610,MS,610,L-shaped porch 
MS610,MS,610,screened-in porch 
MS610,MS,610,wraparound porch 
MS610,MS,610,dt
MS611,MS,611,L-shaped porch 
MS611,MS,611,porch 
MS611,MS,611,screened-in porch 
MS612,MS,612,back porch 
MS612,MS,612,gallery 
MS612,MS,612,L-shaped porch 
MS612,MS,612,screened-in porch 
MS613,MS,613,balcony 
MS613,MS,613,Southern-style porch 
MS613,MS,613,dl
MS613,MS,613,dm
MS614,MS,614,screened-in porch 
MS614,MS,614,side gallery 
MS615,MS,615,L-shaped porch 
MS616,MS,616,back porch 
MS616,MS,616,gallery 
MS616,MS,616,screened-in porch 
MS616,MS,616,second-floor porch 
MS617,MS,617,back porch 
MS617,MS,617,gallery 
MS618,MS,618,back porch 
MS618,MS,618,gallery 
MS619,MS,619,gallery 
MS620,MS,620,gallery 
MS620,MS,620,landing 
MS621,MS,621,screened-in porch 
MS622,MS,622,gallery 
MS622,MS,622,dv
MS623,MS,623,back porch 
MS623,MS,623,gallery 
MS623,MS,623,L-shaped porch 
MS623,MS,623,screened-in porch 
MS623,MS,623,side gallery 
MS623,MS,623,dv
MS624,MS,624,gallery 
MS624,MS,624,screened-in porch 
MS625,MS,625,back porch 
MS625,MS,625,gallery 
MS625,MS,625,screened-in porch 
MS626,MS,626,screened-in porch 
MS627,MS,627,L-shaped porch 
MS628,MS,628,back porch 
MS628,MS,628,gallery 
MS628,MS,628,L-shaped porch 
MS629,MS,629,screened-in porch 
MS629,MS,629,second-story porch 
MS629,MS,629,wraparound porch 
LA630,LA,630,screened-in porch 
LA630,LA,630,side gallery 
LA631,LA,631,back porch 
LA631,LA,631,gallery 
LA632,LA,632,screened-in porch 
LA633,LA,633,gallery 
LA634,LA,634,back porch 
LA634,LA,634,gallery 
LA634,LA,634,L-shaped porch 
LA635,LA,635,L-shaped porch 
LA635,LA,635,screened-in porch 
LA635,LA,635,dv
LA636,LA,636,gallery 
LA636,LA,636,screened-in porch 
LA637,LA,637,back porch 
LA637,LA,637,screened-in porch 
LA638,LA,638,back porch 
LA638,LA,638,gallery 
LA638,LA,638,screened-in porch 
LA639,LA,639,L-shaped porch 
LA639,LA,639,screened-in porch 
LA640,LA,640,L-shaped porch 
LA640,LA,640,screened-in porch 
LA641,LA,641,L-shaped porch 
LA641,LA,641,lean-to porch 
LA641,LA,641,screened-in porch 
LA642,LA,642,back porch 
LA642,LA,642,screened-in porch 
LA643,LA,643,L-shaped porch 
LA643,LA,643,screened-in porch 
LA643,LA,643,two-story porch 
LA643,LA,643,wraparound porch 
LA644,LA,644,gallery 
LA645,LA,645,back porch 
LA645,LA,645,balcony 
LA645,LA,645,gallery 
LA645,LA,645,screened-in porch 
LA645,LA,645,side gallery 
LA645,LA,645,dv
LA646,LA,646,back porch 
LA646,LA,646,gallery 
LA646,LA,646,L-shaped porch 
LA646,LA,646,screened-in porch 
LA646,LA,646,up-and-down back porch 
LA647,LA,647,L-shaped porch 
LA647,LA,647,screened-in porch 
LA648,LA,648,gallery 
LA648,LA,648,L-shaped porch 
LA648,LA,648,screened-in porch 
LA649,LA,649,dv
LA650,LA,650,L-shaped porch 
LA650,LA,650,screened-in porch 
LA651,LA,651,-
LA652,LA,652,L-shaped porch 
LA652,LA,652,screened-in porch 
LA653,LA,653,-
LA654,LA,654,balcony 
LA654,LA,654,screened-in porch 
LA655,LA,655,balcony 
LA655,LA,655,L-shaped porch 
LA655,LA,655,screened-in porch 
LA655,LA,655,dv
LA656,LA,656,screened-in porch 
LA656,LA,656,dv
LA657,LA,657,back porch 
LA657,LA,657,gallery 
LA657,LA,657,L-shaped porch 
LA657,LA,657,upstairs balcony 
LA657,LA,657,upstairs floor 
LA657X,LA,657X,back gallery 
LA657X,LA,657X,Galerie (G) 
LA657Y,LA,657Y,Galerie (G) 
LA657Y,LA,657Y,L-shaped porch 
LA657Y,LA,657Y,screened-in porch 
LA657Y,LA,657Y,sun parlor 
LA657Y,LA,657Y,dv
LA657Z,LA,657Z,balcon (F) 
LA657Z,LA,657Z,hip-roof porch 
LA657Z,LA,657Z,walk-out porch 
LA658,LA,658,screened-in porch 
LA659,LA,659,side gallery 
LA659,LA,659,widow's perch 
LA660,LA,660,L-shaped porch 
LA660,LA,660,screened-in porch 
LA661,LA,661,hip-roof porch 
LA661,LA,661,screened-in porch 
LA662,LA,662,L-shaped porch 
LA662,LA,662,screened-in porch 
LA662,LA,662,wraparound porch 
LA662,LA,662,dv
LA663,LA,663,gallery 
LA663,LA,663,screened-in porch 
LA664,LA,664,back porch 
LA664,LA,664,gallery 
LA664,LA,664,screened-in porch 
LA665,LA,665,-
LA666,LA,666,gallery 
LA666,LA,666,screened-in porch 
LA666,LA,666,up-and-down back porch 
LA667,LA,667,L-shaped porch 
LA667,LA,667,screened-in porch 
LA668,LA,668,back porch 
LA668,LA,668,gallery 
LA668,LA,668,L-shaped porch 
LA668,LA,668,screened-in porch 
LA669,LA,669,L-shaped porch 
LA669,LA,669,screened-in porch 
LA670,LA,670,back porch 
LA670,LA,670,gallery 
LA670,LA,670,screened-in porch 
LA671,LA,671,L-shaped porch 
LA671,LA,671,screened-in porch 
LA672,LA,672,screened-in porch 
LA673,LA,673,back porch 
LA673,LA,673,Galerie (G) 
LA673,LA,673,L-shaped porch 
LA673,LA,673,screened-in porch 
AR674,AR,674,screened-in porch 
AR675,AR,675,back porch 
AR675,AR,675,gallery 
AR675,AR,675,steps 
AR676,AR,676,screened-in porch 
AR677,AR,677,back porch 
AR677,AR,677,gallery 
AR677,AR,677,screened-in porch 
AR678,AR,678,screened-in porch 
AR679,AR,679,screened-in porch 
AR679,AR,679,side gallery 
AR680,AR,680,gallery 
AR680,AR,680,screened back porch 
AR680,AR,680,steps 
AR681,AR,681,back porch 
AR681,AR,681,entrance 
AR681,AR,681,gallery 
AR682,AR,682,balcony 
AR682,AR,682,screened-in porch 
AR682,AR,682,widow's perch 
AR683,AR,683,screened-in porch 
AR683,AR,683,steps 
AR684,AR,684,back porch 
AR684,AR,684,gallery 
AR684,AR,684,screened-in porch 
AR685,AR,685,back porch 
AR685,AR,685,screened-in porch 
AR685,AR,685,sun room 
AR685,AR,685,dy
AR686,AR,686,screened-in porch 
AR687,AR,687,gallery 
AR688,AR,688,screened-in porch 
AR689,AR,689,screened-in porch 
AR690,AR,690,back porch 
AR690,AR,690,gallery 
AR691,AR,691,back porch 
AR691,AR,691,screened-in porch 
AR692,AR,692,gallery 
AR692,AR,692,screened-in porch 
AR693,AR,693,screened-in porch 
AR694,AR,694,back porch 
AR695,AR,695,back porch 
AR695,AR,695,gallery 
AR695,AR,695,screened-in porch 
AR695,AR,695,upstairs balcony 
AR696,AR,696,back porch 
AR696,AR,696,gallery 
AR697,AR,697,screened-in porch 
AR698,AR,698,back porch 
AR698,AR,698,gallery 
AR698,AR,698,screened-in porch 
AR698,AR,698,side gallery 
AR699,AR,699,balcony 
AR699,AR,699,screened-in porch 
AR700,AR,700,gallery 
AR701,AR,701,screened-in porch 
AR702,AR,702,back porch 
AR702,AR,702,gallery 
AR703,AR,703,back porch 
AR703,AR,703,gallery 
AR703,AR,703,dy
AR704,AR,704,screened-in porch 
AR704,AR,704,side gallery 
AR705,AR,705,back porch 
AR705,AR,705,gallery 
AR705,AR,705,walk-out porch 
AR705,AR,705,dv
AR706,AR,706,-
AR707,AR,707,back porch 
AR707,AR,707,screened-in porch 
AR708,AR,708,back porch 
AR708,AR,708,screened-in porch 
AR709,AR,709,back porch 
AR709,AR,709,gallery 
AR710,AR,710,screened-in porch 
AR711,AR,711,back porch 
AR711,AR,711,gallery 
AR711,AR,711,screened-in porch 
AR711,AR,711,walk-out porch 
AR712,AR,712,back porch 
AR712,AR,712,balcony 
AR712,AR,712,gallery 
AR712,AR,712,screened-in porch 
AR713,AR,713,back porch 
AR713,AR,713,gallery 
AR714,AR,714,back porch 
AR714,AR,714,balcony 
AR714,AR,714,screened-in porch 
AR714,AR,714,upstairs balcony 
AR715,AR,715,screened-in porch 
AR716,AR,716,screened-in porch 
AR717,AR,717,screened-in porch 
AR718,AR,718,balcony 
AR718,AR,718,dt
AR719,AR,719,balcony 
AR719,AR,719,screened-in porch 
AR719,AR,719,screened-in side porch 
AR719,AR,719,steps 
AR720,AR,720,screened-in porch 
AR721,AR,721,back porch 
AR721,AR,721,screened-in porch 
AR721,AR,721,walk-out porch 
AR721,AR,721,dv
AR722,AR,722,screened-in porch 
AR723,AR,723,screened-in porch 
AR724,AR,724,-
AR725,AR,725,balcony 
AR725,AR,725,gallery 
AR725,AR,725,screened-in porch 
AR725,AR,725,sun porch 
AR725,AR,725,walk-out porch 
AR725,AR,725,dt
AR726,AR,726,screened-in porch 
AR727,AR,727,gallery 
AR727,AR,727,screened-in porch 
AR728,AR,728,-
AR729,AR,729,gallery 
AR729,AR,729,L-shaped porch 
AR730,AR,730,balcony 
AR730,AR,730,gallery 
AR730,AR,730,walk-out porch 
AR730,AR,730,dv
AR731,AR,731,back porch 
AR731,AR,731,screened-in porch 
AR731,AR,731,upstairs balcony 
AR732,AR,732,double porch 
AR732,AR,732,screened-in porch 
AR733,AR,733,back porch 
AR734,AR,734,-
AR735,AR,735,screened-in porch 
AR735,AR,735,walk-out porch 
AR736,AR,736,gallery 
AR736,AR,736,L-shaped porch 
AR736,AR,736,screened-in porch 
AR737,AR,737,back porch 
AR737,AR,737,gallery 
AR737,AR,737,screened-in porch 
AR738,AR,738,back porch 
AR738,AR,738,gallery 
AR739,AR,739,balcony 
AR739,AR,739,screened-in porch 
AR740,AR,740,back porch 
AR740,AR,740,gallery 
AR740,AR,740,screened-in porch 
AR741,AR,741,balcony 
AR741,AR,741,screened-in porch 
AR741,AR,741,walk-out porch 
AR741,AR,741,dv
AR742,AR,742,back porch 
AR742,AR,742,balcony 
AR742,AR,742,L-shaped porch 
AR743,AR,743,deck 
AR743,AR,743,gallery 
AR743,AR,743,L-shaped porch 
AR743,AR,743,screened-in porch 
AR744,AR,744,back porch 
AR744,AR,744,gallery 
AR744,AR,744,walk-out porch 
AR745,AR,745,back porch 
AR745,AR,745,L-shaped porch 
AR746,AR,746,gallery 
AR746,AR,746,L-shaped porch 
AR746,AR,746,screened-in porch 
AR746,AR,746,Southern-style porch 
AR747,AR,747,balcony 
AR747,AR,747,L-shaped porch 
AR747,AR,747,di
AR748,AR,748,back porch 
AR749,AR,749,back porch 
AR749,AR,749,screened-in porch 
AR749,AR,749,L-shaped porch 
AR750,AR,750,back porch 
AR751,AR,751,back porch 
AR751,AR,751,screened-in porch 
AR752,AR,752,screened-in porch 
AR752,AR,752,Southern-style porch 
AR753,AR,753,back porch 
AR753,AR,753,gallery 
AR753,AR,753,screened-in porch 
AR753,AR,753,side gallery 
AR753,AR,753,up-and-down back porch 
AR753,AR,753,wraparound porch 
AR753,AR,753,dv
AR754,AR,754,L-shaped porch 
AR754,AR,754,screened-in porch 
AR755,AR,755,back porch 
AR755,AR,755,gallery 
LA756,LA,756,L-shaped porch 
LA756,LA,756,screened-in porch 
LA757,LA,757,L-shaped porch 
LA757,LA,757,screened-in porch 
LA758,LA,758,back porch 
LA758,LA,758,gallery 
LA758,LA,758,L-shaped porch 
LA758,LA,758,screened-in porch 
LA759,LA,759,screened-in porch 
LA760,LA,760,screened-in porch 
LA761,LA,761,L-shaped porch 
LA761,LA,761,screened-in porch 
LA762,LA,762,gallery 
LA762,LA,762,L-shaped porch 
LA762,LA,762,screened-in porch 
LA763,LA,763,back porch 
LA763,LA,763,gallery 
LA763,LA,763,L-shaped porch 
LA763,LA,763,screened-in porch 
LA764,LA,764,galerie (F) 
LA764,LA,764,L-shaped porch 
LA764,LA,764,side gallery 
LA764,LA,764,up-and-down front porch 
LA765,LA,765,back porch 
LA765,LA,765,gallery 
LA765,LA,765,screened-in porch 
LA765,LA,765,walk-out porch 
LA766,LA,766,L-shaped porch 
LA766,LA,766,screened-in porch 
LA767,LA,767,gallery 
LA767,LA,767,L-shaped porch 
LA767,LA,767,dv
LA768,LA,768,-
LA769,LA,769,landing 
LA769,LA,769,Southern-style porch 
LA769,LA,769,step-down 
LA770,LA,770,L-shaped porch 
LA770,LA,770,screened-in porch 
LA771,LA,771,screened-in porch 
LA772,LA,772,gallery 
LA772,LA,772,screened-in porch 
LA772,LA,772,utility porch 
LA773,LA,773,back porch 
LA774,LA,774,L-shaped porch 
LA774,LA,774,screened-in porch 
LA775,LA,775,back porch 
LA775,LA,775,L-shaped porch 
LA775,LA,775,screened-in porch 
LA776,LA,776,balcony 
LA776,LA,776,gallery 
LA776,LA,776,upstairs balcony 
LA776,LA,776,walk-out porch 
LA777,LA,777,gallery 
LA777,LA,777,screened-in porch 
LA778,LA,778,gallery 
LA778,LA,778,L-shaped porch 
LA778,LA,778,upstairs balcony 
LA779,LA,779,screened-in porch 
LA780,LA,780,L-shaped porch 
LA780,LA,780,screened-in porch 
LA780,LA,780,side gallery 
LA780,LA,780,dv
LA781,LA,781,back porch 
LA782,LA,782,L-shaped porch 
LA782,LA,782,screened-in porch 
LA783,LA,783,gallery 
LA783,LA,783,L-shaped porch 
LA783,LA,783,screened-in porch 
LA784,LA,784,L-shaped porch 
LA784,LA,784,screened-in porch 
LA785,LA,785,screened-in porch 
LA786,LA,786,L-shaped porch 
LA786,LA,786,screened-in porch 
LA787,LA,787,gallery 
LA787,LA,787,screened-in porch 
LA788,LA,788,back porch 
LA788,LA,788,L-shaped porch 
LA788,LA,788,screened-in porch 
LA789,LA,789,back porch 
LA789,LA,789,gallery 
LA789,LA,789,L-shaped porch 
LA789,LA,789,screened-in porch 
LA790,LA,790,gallery 
LA790,LA,790,L-shaped porch 
LA791,LA,791,back porch 
LA791,LA,791,gallery 
LA792,LA,792,balcony 
LA792,LA,792,entrance porch 
LA792,LA,792,L-shaped porch 
LA792,LA,792,screened-in porch 
LA792,LA,792,dt
LA793,LA,793,screened-in porch 
LA794,LA,794,screened-in porch 
LA795,LA,795,L-shaped porch 
LA795,LA,795,screened-in porch 
LA796,LA,796,gallery 
LA796,LA,796,L-shaped porch 
LA796,LA,796,walk-out porch 
LA797,LA,797,screened-in porch 
LA798,LA,798,screened-in porch 
LA799,LA,799,-
LA800,LA,800,back porch 
LA800,LA,800,gallery 
LA800,LA,800,screened-in porch 
LA801,LA,801,screened-in porch 
LA802,LA,802,back porch 
LA802,LA,802,gallery 
LA802,LA,802,L-shaped porch 
LA802,LA,802,screened-in porch 
LA803,LA,803,Galerie (G) 
LA803,LA,803,gallery 
LA803,LA,803,screened-in porch 
LA804,LA,804,gallery 
LA805,LA,805,hip-roof porch 
LA805,LA,805,screened-in porch 
LA806,LA,806,circle porch 
LA806,LA,806,hip-roof porch 
LA806,LA,806,L-shaped porch 
LA807,LA,807,back porch 
LA807,LA,807,L-shaped porch 
LA807,LA,807,screened-in porch 
LA808,LA,808,gallery 
LA808,LA,808,hip-roof porch 
LA809,LA,809,gallery 
LA809,LA,809,hip-roof porch 
LA809,LA,809,L-shaped porch 
LA809,LA,809,screened-in porch 
LA810,LA,810,L-shaped porch 
LA810,LA,810,screened-in porch 
LA811,LA,811,lounge 
LA811,LA,811,screened-in porch 
LA811,LA,811,side gallery 
LA812,LA,812,L-shaped porch 
LA812,LA,812,screened-in porch 
LA813,LA,813,L-shaped porch 
LA813,LA,813,screened-in porch 
LA814,LA,814,hip-roof porch 
LA814,LA,814,screened-in porch 
LA814,LA,814,upstairs balcony 
LA815,LA,815,L-shaped porch 
LA815,LA,815,screened-in porch 
LA816,LA,816,L-shaped porch 
LA816,LA,816,screened-in porch 
LA817,LA,817,screened-in porch 
LA817,LA,817,dt
TX818,TX,818,-
TX819,TX,819,screened-in porch 
TX820,TX,820,back porch 
TX820,TX,820,screened-in porch 
TX820,TX,820,upstairs balcony 
TX821,TX,821,screened-in porch 
TX821,TX,821,upstairs balcony 
TX822,TX,822,back porch 
TX822,TX,822,gallery 
TX822,TX,822,upstairs balcony 
TX823,TX,823,L-shaped porch 
TX823,TX,823,screened-in porch 
TX824,TX,824,back porch 
TX824,TX,824,gallery 
TX824,TX,824,L-shaped porch 
TX824,TX,824,upstairs balcony 
TX824,TX,824,walk-out porch 
TX825,TX,825,back porch 
TX825,TX,825,L-shaped porch 
TX825,TX,825,screened-in porch 
TX826,TX,826,back porch 
TX826,TX,826,gallery 
TX826,TX,826,L-shaped porch 
TX827,TX,827,gallery 
TX827,TX,827,screened-in porch 
TX827,TX,827,du
TX828,TX,828,gallery 
TX828,TX,828,L-shaped porch 
TX828,TX,828,screened-in porch 
TX829,TX,829,back porch 
TX829,TX,829,L-shaped porch 
TX830,TX,830,gallery 
TX830,TX,830,screened-in porch 
TX831,TX,831,screened-in porch 
TX832,TX,832,back porch 
TX832,TX,832,entry 
TX832,TX,832,screened-in porch 
TX832,TX,832,dt
TX833,TX,833,back porch 
TX833,TX,833,balcony 
TX833,TX,833,screened-in porch 
TX833,TX,833,stoop 
TX834,TX,834,balcony 
TX834,TX,834,gallery 
TX834,TX,834,screened-in porch 
TX834,TX,834,side gallery 
TX834,TX,834,walk-out porch 
TX834,TX,834,ea
TX835,TX,835,L-shaped porch 
TX835,TX,835,screened-in porch 
TX835,TX,835,two-deck porch 
TX836,TX,836,L-shaped porch 
TX836,TX,836,screened-in porch 
TX836,TX,836,dv
TX837,TX,837,back porch 
TX837,TX,837,gallery 
TX837,TX,837,L-shaped porch 
TX837,TX,837,rain porch 
TX837,TX,837,upstairs piazza 
TX838,TX,838,entrance porch way 
TX838,TX,838,screened-in porch 
TX839,TX,839,screened-in porch 
