Informant,porch 10.7,Comments,
NY34C,piazza,,
NY34C,porch,,
NY34D!,porch,side,
NY34D!,porch,side,
NY34D!,piazza,,
NY35A,porch,,
NY35A,stoop,,
NY35B,porch,,
NY35B,veranda,long,
NY35B,stoop,,
NY35C!,porch,,
NY35C!,veranda,wide,
NY35C!,stoop,small,
NY36A,porch,,
NY36A,stoop,,
NY36A,piazza,fancier [than stoop],
NY36B,porch,,
NY36B,stoop,,
NY37A,porch,,
NY37A,piazza,,
NY37A,stoop,small,
NY37B,porch,,
NY37C!,porch,,
NY37C!,stoop,,
NY37C!,veranda,larger [than stoop],
NY38A,veranda,large; rare,
NY38A,stoop,closed in,
NY38A,porch,open,
NY38A,piazza,,
NY38B,piazza,,
NY38B,porch,,
NY38B,stoop,,
NY38C,porch,,
NY38C,stoop,,
NY39A,porch,,
NY39A,piazza,,
NY39B,piazza,large,
NY39B,stoop,small,
NY39B,porch,,
NY40A,stoop,,
NY40A,piazza,,
NY40A,veranda,bigger [than stoop],
NY40B,porch,,
NY40B,stoop,,
NY41,porch,,
NY41,veranda,wide,
NY41,stoop,,
NY42A,porch,,
NY42A,stoop,,
NY42B,porch,,
NY43A,stoop,,
NY43B,porch,,
NY43B,stoop,,
NY43C!,porch,,
NY43C!,stoop,rare now; small,
NY44A,porch,,
NY44A,stoop,,
NY44B,porch,,
NY44B,veranda,large,
NY44B,stoop,small,
NY45A,stoop,,
NY45A,stoop,,
NY45A,porch,,
NY45B,porch,,
NY45C,porch,,
NY45C,stoop,,
NY45D!,back porch,,
NY45D!,porch,,
NY45D!,piazza,,
NY46A,porch,,
NY46A,stoop,"""might have called it”",
NY46B,porch,,
NY46B,stoop,must have cover,
NY46C,porch,needn't have roof,
NY46C,porch,needn't have roof,
NY46C,stoop,no roof,
NY47A,stoop,same [as porch],
NY47A,porch,same [as stoop],
NY47A,porch,,
NY47A,porch,,
NY47B,porch,,
NY47B,stoop,,
NY48A,stoop,,
NY48A,porch,later,
NY48B,porch,,
NY48B,porch,,
NY48C,stoop,,
NY48D,porch,,
NY48D,stoop,,
NY48D,kitchen stoop,,
NY49A,porch,"""high class”",
NY49A,stoop,"""low class”",
NY49A,porch,"""high class”",
NY49B,porch,,
NY49B,stoop,,
NY49C,porches,,
NY49C,patio,,
NY49C,front porch,,
NY49C,back porch,,
NY49D,porch,,
NY49D,side porch,,
NY49D,entrance,raised concrete platform,
NY49D,front porch,,
NY49D,back porch,,
NY50A,porch,,
NY50A,stoop,,
NY50B,porch,,
NY50B,stoop,,
NY51A,porch,,
NY51A,stoop,,
NY51B,dining room porch,,
NY51B,stoops,,
NY51C,porch,,
NY51C,piazza,"""in the village”",
NY51C,stoop,,
NY51C,porch,,
NY51D,sun porch,,
NY51D,stoop,,
NY51E!,small porch,,
NY51E!,veranda,large,
NY51E!,storm porch,winter,
NY51E!,side porch,,
NY51E!,piazza,,
NY52A,porch,,
NY52A,stoops,,
NY52B,stoop,,
NY52B,front porch,,
NY52C,porch,,
NY52C,front porch,,
NY52C,back porch,,
NY52C,patio,"raised, platform-like, concrete; no roof",
NY53A,porch,enclosed,
NY53A,stoop,,
NY53B!,stoop,,
NY53B!,porch,,
NY54A,porch,,
NY54A,back porch,,
NY54A,front porch,,
NY54B,vestibule,front,
NY54B,porch,"""back”",
NY55A,porch,big pillars,
NY55A,stoop,,
NY55B,stoop,,
NY55B,a stone steps,,
NY55B,steps,,
NY55B,porches,"""weren't the fashion”",
NY56A,veranda,,
NY56A,veranda,,
NY56A,veranda,,
NY56A,step,,
NY56B,porches,,
NY56B,veranda,,
NY56B,stoop,,
NY56B,front stoop,,
NY56B,back stoop,,
NY57A,stoop,,
NY57A,stoop,,
NY57B,stoop,,
NY57B,back porch,,
NY57C!,steps,"originally just had front, side, or back",
NY57C!,piazza,,
NY57C!,porch,,
NY58A,front porch,,
NY58A,steps,,
NY58A,stoop,,
NY58B,porch,,
NY58C,stoop,,
NY58C,front stoop,,
NY58C,back stoop,,
NY58C,porch,,
NY58D!,porch,,
NY58D!,stoop,,
NY58E!,front stoop,,
NY58E!,veranda,side,
NY58F!,piazza,,
NY58F!,porch,smaller [than piazza],
NY58F!,porch,smaller [than piazza],
NY59A,porch,,
NY59A,stoop,smaller [than porch],
NY59B,veranda,wide,
NY59B,porch,usual,
NY60A,porch,not always covered,
NY60A,porches,not always covered,
NY60A,stoop,,
NY60B!,porch,"front, side, or back",
NY60B!,stoop,,
NY60B!,veranda,,
NY61A,stoops,not much different [than veranda],
NY61A,on your stoop,,
NY61A,veranda,not much different [than stoop],
NY61B,veranda,front or side,
NY61B,stoop,back door; [{u˂}]: doubtful,
NY61B,balcony,upstairs,
NY62A,stoops,not then,
NY62A,verandas,,
NY62A,gallery,in a story,
NY62B,stoop,,
NY62B,storm house,enclosed,
NY62B,porch,,
NY62B,veranda,,
NY62C,stoops,"short; up to ""veranda”",
NY62C,veranda,large,
NY62C,veranda,large,
NY62C,porch,,
NY62D!,porch,,
NY62D!,veranda,,
NY62D!,stoops,"""other side the tracks”",
NY63A,verandas,,
NY63A,porch,,
NY63A,porch,,
NY63A,back porch,,
NY63B,front steps,,
NY63B,porch,,
NY63B,veranda,,
NY63C,veranda,wide,
NY63C,porch,,
NY63C,stoop,,
NY63D!,front veranda,,
NY64A,veranda,4-feet wide,
NY64A,stoops,very narrow,
NY64A,porch,,
NY64A,storm house,,
NY64A,piazza,,
NY64B,porch,"same [as veranda, stoop]",
NY64B,veranda,"same as [porch, stoop]",
NY64B,stoop,"same as [porch, veranda]",
NY64B,stoop,"same as [porch, veranda]",
NY64C!,porch,,
