Informant,porch 10.7,Comments,
VA51C,porch,,
VA51C,piazza,,
VA52A,porch,,
VA52B,porch,,
VA52C!,porch,,
VA52C!,porch,,
VA53A,porch,,
VA53B,porch,,
VA54A,porch,,
VA54B,porch,,
VA55A,porch,,
VA55A,portico,,
VA55B,porch,,
VA56A,porch,,
VA56A,portico,small; usually no roof,
VA56B,porch,,
VA57A,porch,,
VA57B,porch,,
VA58,porch,,
VA58,platform,"small, no roof",
VA59N,porch,,
VA59A,porch,,
VA59B!,porch,,
VA60,porch,,
VA61A,porch,,
VA61B!,porch,,
VA61C,NA,,
VA62A,porch,,
VA62B,porch,,
VA63A,porch,,
VA63A,portico,small; usually no roof,
VA63B,porch,,
VA64A,porch,,
VA64B,porch,,
VA65A,porch,,
VA65A,portico,"small, narrower [than porch]; usually no roof",
VA65B,porch,,
VA65C!,porch,,
VA65C!,veranda,covered walkway all around house,
VA66A,porch,,
VA66B,porch,,
VA67A,porch,,
VA67B,porch,,
VA68A,porch,,
VA68B,porch,,
VA69A,porch,,
VA69B,porch,,
VA70A,porch,,
VA70B,porch,,
VA71A,porch,,
VA71B,porch,,
VA71B,portico,small; usually no roof,
VA72A,porch,,
VA72B,porch,,
VA72B,portico,"small, short; usually no roof",
VA73,porch,,
VA74A,porch,,
VA74B!,porch,,
VA75A,porch,,
VA75B,porch,,
NC1,door block,small; usually no roof,
NC1,piazza,,
NC1,porch,rarely used,
NC2A,porch,,
NC2A,piazza,,
NC2B,porch,,
NC2B,piazza,,
NC3A,piazza,natural,
NC3A,porch,,
NC3B,porch,,
NC3B,piazza,,
NC4A,piazza,,
NC4A,porch,,
NC4B,porch,,
NC4B,piazza,,
NC5A,piazza,natural,
NC5A,porch,,
NC5B,porch,,
NC5B,piazza,,
NC6!,porch,,
NC6!,piazza,,
NC7A,piazza,,
NC7A,porch,formerly only a small one,
NC7B,porch,formerly only a small one,
NC7B,piazza,,
NC8N,porch,,
NC8N,piazza,,
NC8A,porch,,
NC8A,piazza,,
NC8B,porch,,
NC8B,piazza,rare,
NC8B,piazza,,
NC9A,piazza,,
NC9A,porch,,
NC9B,piazza,,
NC9B,porch,small one; usually no roof,
NC10A,porch,,
NC10A,piazza,,
NC10B,piazza,,
NC10B,porch,,
NC10C,piazza,,
NC10C,piazza,,
NC11A,porch,,
NC11A,piazza,,
NC11B,porch,,
NC11B,piazza,father says,
NC12A,piazza,,
NC12A,piazza,,
NC12A,porch,,
NC12B,porch,,
NC12B,piazza,,
NC13A,porch,small ones,
NC13A,piazza,,
NC13B,porch,,
NC13B,piazza,,
NC13B,piazza,,
NC14N,porch,50 years,
NC14N,piazza,,
NC14A,piazza,,
NC14A,porch,formerly only of small ones,
NC14B,porch,,
NC14B,piazza,long,
NC14B,portico,very small; usually no roof,
NC14C!,veranda,,
NC14C!,piazza,,
NC14C!,portico,small; usually no roof,
NC14C!,porch,small; usually no roof,
NC15A,piazza,,
NC15B,porch,,
NC15B,piazza,,
NC15C,porch,,
NC15C,piazza,,
NC16A,piazza,,
NC16B,porch,,
NC16B,piazza,,
NC17A,piazza,,
NC17A,porch,rare,
NC17B,porch,,
NC17B,piazza,,
NC18A,piazza,,
NC18B,piazza,,
NC19A,piazza,,
NC19A,porch,,
NC19B,piazza,rare; a small one; usually no roof,
NC19B,porch,,
NC20A,porch,,
NC20A,piazza,,
NC20B,piazza,,
NC20B,porch,,
NC20C,porch,,
NC20C,piazza,,
NC20C,piazza,,
NC21A,piazza,,
NC21A,porch,small; usually no roof,
NC21B,porch,not full length,
NC21B,piazza,full length of home,
NC22A,porch,,
NC22A,porch,,
NC22A,piazza,,
NC22A,piazza,,
NC22B,porch,,
NC22B,piazza,,
NC23A,porch,,
NC23A,piazza,,
NC23B,porch,,
NC23B,piazza,,
NC23B,piazza,,
NC23C!,piazza,,
NC23C!,porch,rare,
NC23D!,piazza,natural,
NC23D!,porch,,
NC24N,piazza,,
NC24N,porch,rare,
NC24A,piazza,,
NC24B,porch,,
NC24B,piazza,,
NC25N,piazza,,
NC25N,porch,,
NC25A,porch,,
NC25A,piazza,,
NC25B,porch,,
NC25B,piazza,,
NC25B,veranda,"open, joining platform between two parts of house",
NC26A,porch,,
NC26A,piazza,,
NC26B,porch,,
NC26B,piazza,,
NC26C!,porch,,
NC26C!,piazza,,
NC27A,porch,,
NC27A,piazza,,
NC27B,porch,,
NC27B,piazza,,
NC28A,piazza,,
NC28A,porch,,
NC28B,piazza,,
NC28B,porch,,
NC28C,porch,,
NC28C,piazza,,
NC29A,porch,,
NC29A,piazza,natural,
NC29A,breezeway,open passage through house,
NC29B,porch,,
NC29B,piazza,,
NC30A,piazza,natural,
NC30A,porch,originally only for small one,
NC30B,porch,,
NC30B,piazza,,
NC31A,porch,,
NC31A,piazza,,
NC31B,porch,,
NC31B,piazza,,
NC32A,porch,,
NC32A,piazza,,
NC32A,veranda,,
NC32A,balcons,,
NC32B!,porch,,
NC32B!,piazza,,
NC33A,piazza,,
NC33B,porch,,
NC33B,piazza,,
NC34A,porch,,
NC34A,piazza,,
NC34B,porch,,
NC34B,piazza,,
NC35A,porch,,
NC35A,piazza,longer [than porch],
NC35B,porch,,
NC35B,piazza,,
NC36N,porch,,
NC36N,piazza,,
NC36A,piazza,,
NC36A,porch,rare,
NC36B,porch,,
NC36B,porch,,
NC37A,piazza,,
NC37A,porch,,
NC37B,porch,,
NC37B,piazza,hall or vestibule inside the house,
NC38N,porch,,
NC38N,piazza,,
NC38A,porch,natural,
NC38A,piazza,fine ones only,
NC38B,porch,,
NC39A,porch,,
NC39B!,porch,,
NC40A,porch,,
NC40A,piazza,,
NC40B,porch,,
NC40B,piazza,as a child,
NC41!,porch,,
NC41!,piazza,rare,
NC42A,porch,,
NC42A,piazza,,
NC42B,porch,,
NC42B,piazza,,
NC42B,piazza,,
NC43A,porch,,
NC43B,porch,,
NC43B,piazza,,
NC44,porch,,
NC44,porch,,
NC45A,porch,,
NC45B,porch,,
NC46A,porch,,
NC46B,porch,,
NC46B,piazza,rare,
NC46C!,porch,,
NC47,porch,,
NC47,piazza,"open, at one side of house between two bedrooms",
NC48,porch,,
NC48,piazza,,
NC49,piazza,,
NC49,porch,,
NC50A,porch,,
NC50B!,porch,,
NC50B!,piazza,very old,
NC51A,porch,open,
NC51A,piazza,bannisters,
NC51B,porch,,
NC51B,piazza,,
NC51B,piazza,,
NC52N,piazza,,
NC52N,porch,,
NC52A,porch,,
NC52A,piazza,,
NC52B,porch,,
NC53A,piazza,,
NC53B,porch,,
NC53B,piazza,,
NC54A,piazza,,
NC54A,porch,,
NC54B,porch,,
NC55,porch,,
NC55,piazza,,
NC56A,porch,,
NC56B!,porch,,
NC57A,porch,,
NC57B,porch,,
NC58A,porch,,
NC58B,porch,,
NC59,porch,,
NC59,piazza,occasionally,
NC60,porch,,
NC61A,porch,,
NC61B,porch,,
NC62A,porch,,
NC62B,porch,,
NC63A,porch,,
NC63B,porch,,
NC64A,porch,,
NC64B,porch,,
NC65A,porch,,
NC65B,porch,,
NC65B,piazza,very rare,
NC66A,porch,,
NC66B,porch,,
NC67A,porch,,
NC67A,portico,small; usually no roof,
NC67B,porch,,
NC68A,porch,,
NC68B,porch,,
NC69A,porch,,
NC69B,porch,,
NC69B,piazza,as a boy,
NC70A,porch,,
NC70B,porch,,
NC71A,porch,,
NC71B,porch,,
NC71C!,porch,,
NC72A,porch,,
NC72B,porch,,
NC73A,porch,,
NC73B,porch,in his own family,
NC73B,piazza,heard first when a young man,
NC74A,porch,,
NC74A,piazza,natural,
NC74B,porch,,
NC75A,porch,,
NC75B,porch,,
SC1A,porch,,
SC1A,piazza,,
SC1B,porch,,
SC1B,piazza,,
SC2A,piazza,,
SC2B,porch,,
SC2B,piazza,,
SC2C,piazza,,
SC3A,porch,,
SC3A,piazza,,
SC3B,front porch,,
SC3B,back porch,,
SC3C!,gallery,,
SC3C!,piazza,,
SC3C!,porch,,
SC3C!,stoop,little,
SC3C!,portico,,
SC4A,front porch,,
SC4A,piazza,,
SC4A,porch,between house and kitchen,
SC4B,piazza,,
SC4B,piazza,,
SC4B,porch,,
SC4B,entry,enclosed,
SC4C,piazza,,
SC4C,porches,,
SC4C,piazza,,
SC4C,porch,,
SC5A,porch,,
SC5A,piazza,called it then,
SC5A,shed,over steps,
SC5A,passage,open; between pens of two-pen house,
SC5A,hallway,enclosed,
SC5B,front porch,,
SC5B,piazza,,
SC5B,piazzas,,
SC5B,porch,"""never heard it called till I was grown”",
SC5B,porch,"""never heard it called till I was grown”",
SC5C,piazza,,
SC5C,porch,,
SC5D!,piazza,,
SC5D!,piazza,,
SC5D!,porch,,
SC6N,steps,,
SC6N,porch,,
SC6N,piazza,,
SC6N,piazza,,
SC6A,porch,,
SC6A,piazza,,
SC6A,shed,when no floor,
SC6B,piazza,,
SC6B,porch,smaller [than piazza],
SC6C!,porch,,
SC6C!,piazza,,
SC6C!,porch,"smaller [than piazza], at back",
SC6D,gangway,house to kitchen,
SC6D,porch,,
SC6D,piazza,,
SC7N,piazza,,
SC7N,porch,,
SC7N,porch,,
SC7A,piazza,,
SC7A,piazza,,
SC7B,porch,,
SC7B,piazza,,
SC7B,piazza,,
SC7B,veranda,only term in some sections,
SC7C!,piazza,large,
SC7C!,piazza,large,
SC7C!,porch,small,
SC7D!,porch,,
SC7D!,porte-cochere,,
SC7D!,piazza,,
SC7D!,stoop,common,
SC8A,piazzas,only on front,
SC8A,porches,"""after I was grown”",
SC8A,steps,,
SC8B,porch,,
SC8B,piazza,,
SC8B,entryway,,
SC8C,piazza,front,
SC8C,entry,back,
SC8C,back porch,,
SC8C,wood shelf,outside windows,
SC9A,piazza,"""don't hear now”",
SC9A,porch,,
SC9A,entryway,,
SC9B,piazza,,
SC9B,wash shed,small; at back,
SC9C!,porch,,
SC9C!,piazza,,
SC9D!,piazza,,
SC9D!,piazza,,
SC9D!,porch,smaller [than piazza],
SC10A,porch,,
SC10A,front porch,,
SC10A,side porch,,
SC10A,piazza,,
SC10A,stoops,"""people way back in the woods”",
SC10B!,piazza,big,
SC10B!,piazza,big,
SC10B!,porch,"small, at back",
SC10C!,piazza,,
SC10C!,porch,smaller [than piazza]; at back,
SC11N,piazza,natural,
SC11N,porch,,
SC11M!,porch,recent,
SC11M!,porch,recent,
SC11M!,piazza,,
SC11M!,back piazza,,
SC11M!,veranda,very seldom,
SC11M!,stoop,"""coping outside”",
SC11M!,coping outside,[a˄˃·ɪ]: doubtful,
SC11A,porch,front; smaller [than piazza],
SC11A,piazza,back; whole length; outside typical country house,
SC11A,piazza,back; whole length; outside typical country house,
SC11A,veranda,"= ""small piazza”",
SC11A,small piazza,above first story,
SC11A,piazza,,
SC11A,porch,originally small,
SC11B,porch,,
SC11B,piazza,,
SC11C,stoop,"no ""railing”",
SC11C,piazza,,
SC11C,piazza,,
SC11C,piazza,,
SC11C,piazza,,
SC11C,veranda,,
SC11D,porch,,
SC11D,porch,,
SC11D,rear porch,,
SC11D,veranda,"different [than porch]; small, space of two windows in front",
SC11D,verandas,"different [than porch]; small, space of two windows in front",
SC11D,stoop,elevated entrance: 3-5 steps,
SC11E,piazza,,
SC11E,piazza,,
SC11E,piazza,,
SC11E,porch,,
SC11E,veranda,,
SC11E,gallery,,
SC11E,stoop,,
SC11F,piazza,mother called it,
SC11F,piazza,mother called it,
SC11F,front porch,,
SC11F,back porch,,
SC11F,porch,not as common a term here as in Ohio,
SC11F,porch,not as common a term here as in Ohio,
SC11F,stoop,very small,
SC11G!,porch,,
SC11G!,porch,,
SC11G!,piazza,,
SC11G!,veranda,,
SC11G!,stoop,"= ""step, I thought”",
SC11G!,back porch,,
SC11H!,piazza,"""don't hear much now”",
SC11H!,piazza,"""don't hear much now”",
SC11H!,piazza,"""don't hear much now”",
SC11H!,back piazza,,
SC11H!,porch,= piazza,
SC11H!,back entry,,
SC11H!,gallery,"""don't think that's proper”",
SC11I!,piazza,long,
SC11I!,porch,,
SC11I!,balcony,on upper stories,
SC11I!,shed,tin roof over top of piazza,
SC11J!,piazza,,
SC11J!,piazza,,
SC11J!,veranda,Virginia,
SC11J!,gallery,Louisiana,
SC11J!,porch,"small, square",
SC11J!,front porch,,
SC11J!,front steps,= stoop,
SC12A,piazza,on old houses,
SC12A,shed,little platform at back,
SC12B,on the bannister,,
SC12B,in the shed,still used,
SC12B,piazza,later word,
SC12B,porch,later word,
SC13,piazza,at front,
SC14A,piazza,,
SC14A,porch,small,
SC14A,veranda,small,
SC14A,stoop,small,
SC14A,shed,"ground for floor, roof only",
SC14B,piazza,larger [than porch],
SC14B,piazza,larger [than porch],
SC14B,porch,,
SC14B,porch,,
SC14B,veranda,,
SC15A,piazza,when a boy,
SC15A,back piazza,,
SC15A,front piazza,,
SC15A,back porch,,
SC15A,front porch,,
SC15B,porch,,
SC15B,front porch,,
SC15B,back porch,,
SC15B,piazza,,
SC15B,piazza,,
SC15B,piazza,,
SC15B,piazza,,
SC15B,veranda,,
SC15C,porch,,
SC15C,piazza,"on side, underneath",
SC15C,shed,,
SC16N,porch,,
SC16N,piazza,,
SC16N,shed,,
SC16N,front shed,,
SC16N,stoop,very small,
SC16,porches,,
SC16,porch,,
SC16,porch,,
SC16,front porch,,
SC16,back porch,,
SC16,back porch,,
SC16,back porch,,
SC16,piazzas,,
SC16,piazza,,
SC17A,porch,,
SC17A,porch,,
SC17A,piazza,,
SC17A,piazzas,,
SC17A,shed,"at back, over pump",
SC17B,front porch,,
SC17B,back porch,,
SC17B,back porch,,
SC17B,piazzas,"""way back”",
SC17B,piazzas,,
SC17C,piazzas,all around,
SC17C,back piazza,,
SC17C,wash shelf,,
SC17C,passage,between house and kitchen,
SC17C,stoop,smaller [than piazza]; out in the country,
SC17D,front piazza,,
SC17D,back piazza,,
SC17D,porch,may be small,
SC17D,back stoop,not common here,
SC18N,front porch,,
SC18N,piazza,,
SC18N,front piazza,,
SC18A,piazza,more common [than veranda],
SC18A,piazza,more common [than veranda],
SC18A,piazza,more common [than veranda],
SC18A,piazza,more common [than veranda],
SC18A,back porch,,
SC18A,side porch,,
SC18A,stoop,little shed,
SC18A,stoop,little shed,
SC18A,front stoop,little shed,
SC18A,veranda,,
SC18B,porch,at back; thought as small,
SC18B,porch,at back; thought as small,
SC18B,piazza,bigger [than porch],
SC18B,piazza,bigger [than porch],
SC18B,veranda,no steps to ground; 2nd floor,
SC18B,upstairs,,
SC18C!,piazza,grew up calling it,
SC18C!,porch,,
SC18C!,porch,,
SC18C!,stoop,smaller [than porch],
SC18C!,back stoop,smaller [than porch],
SC18C!,passageway,like hall,
SC18C!,passage,like hall,
SC18C!,veranda,,
SC18D!,porch,,
SC18D!,back porch,,
SC18D!,piazza,,
SC18D!,piazza,,
SC18D!,porch,,
SC19N,piazza,"longer [than stoop], covered",
SC19N,stoop,"small, covered",
SC19N,platform,not covered,
SC19N,porch,= stoop; natural,
SC19A,piazza,big,
SC19A,front piazza,big,
SC19A,back piazza,big,
SC19A,side piazza,big,
SC19A,porch,small,
SC19A,stoop,"entrance; small (""shed”)",
SC19A,veranda,"= ""big piazza”",
SC19A,big piazza,,
SC19A,shed,,
SC19B,verandas,in Charleston,
SC19C,piazza,large,
SC19C,side porch,smaller [than piazza],
SC19C,stoop,"small, like porch",
SC19C,veranda,runs around the house,
SC19C,gallery,,
SC19C,balcony,,
SC19D!,piazza,,
SC19D!,stoop,,
SC19D!,porch,,
SC19D!,back piazza,,
SC19E!,piazza,big or small,
SC19E!,piazza,big or small,
SC19E!,upper piazza,,
SC19E!,balcony,"""upper piazza”",
SC19E!,piazza,big or small,
SC19E!,piazza,big or small,
SC19E!,veranda,,
SC20A,porch,,
SC20A,porch,,
SC20A,piazza,,
SC20B,porch,,
SC20B,front porch,,
SC20B,back porch,,
SC20B,piazza,,
SC20B,piazza,,
SC20C,porch,,
SC20C,porch,,
SC20C,piazzas,"""gallberry bushes”",
SC20C,piazzas,"""gallberry bushes”",
SC20D!,front porch,,
SC20D!,side porch,,
SC20D!,piazza,said himself,
SC20D!,piazza,Negroes [use],
SC21A,porch,,
SC21A,piazza,,
SC21B,porch,,
SC21B,piazza,,
SC22N,porch,,
SC22N,piazza,,
SC22N,stoop,,
SC22A,porch,,
SC22A,porch,,
SC22A,piazza,,
SC22B,porch,rare when young,
SC22B,piazza,,
SC22B,portico,,
SC22C!,porch,"smaller [than piazza]; ""entrance”",
SC22C!,entrance,,
SC22C!,piazza,,
SC22C!,stoop,uncovered; for loading and unloading,
SC23A,back porch,,
SC23A,piazza,,
SC23A,entry,back; smaller [than piazza],
SC23B,porch,,
SC23B,piazza,,
SC23B,piazza,,
SC23C,porch,,
SC23C,piazza,,
SC23D,piazza,,
SC23D,porch,,
SC23D,rear porch,,
SC23D,back porch,,
SC23D,veranda,lattice work,
SC23D,stoop,in Hampton Co. area; not here,
SC23E!,porch,small,
SC23E!,piazza,large,
SC24N,piazza,,
SC24A,porch,,
SC24A,porch,,
SC24A,porch,,
SC24A,stoop,,
SC24A,carport,,
SC24B,porch,"""got to callin' after a while”",
SC24B,back porch,,
SC24B,front porch,,
SC24B,piazza,,
SC24C,porch,,
SC24C,piazzas,,
SC24C,piazza,,
SC24C,back piazza,,
SC24D!,piazza,,
SC24D!,piazza,,
SC24D!,front piazza,,
SC24D!,brick piazza,,
SC24D!,porch,back of house or by kitchen,
SC25A,porch,,
SC25A,piazza,,
SC25B,porches,,
SC25B,back porch,,
SC25B,front porch,,
SC25B,piazza,,
SC25B,piazza,,
SC25B,portico,smaller [than porch]; = stoop,
SC25C!,side porch,,
SC25C!,back porch,,
SC25C!,kitchen porch,,
SC25C!,terraces,,
SC25C!,piazza,,
SC25C!,front stoop,very small,
SC26A,piazza,"no ""piazza”, no ""house”",
SC26A,piazza,,
SC26A,house,,
SC26A,porch,= piazza,
SC26A,platform,,
SC26A,shed,at back,
SC26B!,platform,kitchen to house,
SC26B!,porch,little larger [than platform],
SC26B!,piazza,generally say; railing,
SC26B!,porch,little larger [than platform],
SC27A,porch,roof,
SC27A,back porch,,
SC27A,patio,no roof,
SC27B,piazza,,
SC27B,back piazza,,
SC27B,porch,,
SC27B,front porch,,
SC27B,platform,,
SC27B,stoop,,
SC28A,piazza,"""if you say it now, they laugh at you”",
SC28A,piazza,"""if you say it now, they laugh at you”",
SC28A,front piazza,,
SC28A,back piazza,,
SC28A,back porch,,
SC28A,porch,,
SC28A,breezeway,between kitchen and house,
SC28B,porch,,
SC28B,piazza,"""old time people”",
SC28B,piazza,,
SC28C,porch,,
SC28C,piazza,father said,
SC28C,veranda,,
SC28C,stoop,"smaller [than porch, piazza, veranda]",
SC28C,breezeway,,
SC28D,porch,,
SC28D,piazzas,,
SC28D,piazzas,,
SC29A,porch,,
SC29A,piazza,,
SC29B,piazza,,
SC29B,piazza,,
SC29C,porch,,
SC29C,piazza,only on front,
SC29D,porch,,
SC29E,piazza,,
SC29E,back piazza,"""pump”",
SC29E,pump,,
SC29E,stoop,,
SC30A,piazza,,
SC30A,porch,,
SC30B,porch,"""a house without a porch is like a frowning woman”",
SC30B,porch,"""a house without a porch is like a frowning woman”",
SC30B,piazza,,
SC30B,piazza,,
SC30B,stoop,"small, at kitchen door",
SC30B,stoop,"small, at kitchen door",
SC30B,terrace,,
SC30C!,piazza,usual name,
SC30C!,back piazza,,
SC30C!,porch,small: platform and steps,
SC30C!,portico,,
SC31A,porch,,
SC31A,piazza,,
SC31B,front porch,,
SC31B,back steps,,
SC31B,piazza,daddy called,
SC32A,piazza,,
SC32A,porch,smaller [than piazza],
SC32A,back porch,smaller [than piazza],
SC32B,porch,,
SC32B,piazza,,
SC32B,piazza,,
SC32C,porch,,
SC32C,porch,,
SC32C,piazza,always said,
SC32C,stoop,smaller [than piazza]: platform and steps,
SC32C,veranda,,
SC32D,piazza,,
SC32D,back piazza,,
SC32D,porch,,
SC32D,stoop,,
SC33A,piazza,,
SC33B,piazza,,
SC33B,porch,,
SC33B,stoops,"""ain't that recent”",
SC33B,ain't that recent,,
SC33B,veranda,,
SC34A,porch,,
SC34A,piazza,,
SC34B,piazzas,,
SC34C,porch,,
SC34C,porch,,
SC34C,piazza,uncovered porch,
SC34C,piazza,uncovered porch,
SC34C,stoop,width of door,
SC34C,portico,short,
SC35A,porch,in the front or back,
SC35A,front porch,,
SC35A,back porch,,
SC35A,piazza,grandmother called it,
SC35B,porch,,
SC35B,back porch,,
SC35B,front porch,,
SC35B,piazza,,
SC35C,porch,,
SC35C,porch,,
SC35C,piazza,,
SC35D,NA,,
SC35E!,porch,one on each floor,
SC35E!,veranda,sometimes,
SC35E!,piazza,,
SC35E!,porch,one on each floor,
SC36A,porch,,
SC36A,porch,,
SC36A,portico,,
SC36A,piazza,,
SC36A,piazza,,
SC36A,entry,small,
SC36B,porch,,
SC36B,piazza,"""my father called it”",
SC36C,porch,,
SC36C,porch,,
SC36C,porch,,
SC36C,porch swing,,
SC36C,piazza,,
SC36C,portico,said as a chap,
SC36C,back shed,,
SC36D!,porch,,
SC36D!,porch,,
SC36D!,piazza,,
SC37,porch,,
SC37,front porch,roof,
SC38N,step piazza,,
SC38N,piazza,,
SC38N,back piazza,,
SC38N,back stoops,,
SC38N,walkway,house to kitchen,
SC38N,porch,,
SC38N,back porch,,
SC38N,front stoops,,
SC38A,piazza,,
SC38A,piazza,,
SC38A,piazza,,
SC38B,porch,,
SC38B,back porch,same as [side porch],
SC38B,side porch,same as [back porch],
SC38B,veranda,,
SC38C!,porch,,
SC38C!,piazza,,
SC38C!,piazza,,
SC38D!,porch,,
SC38D!,piazza,,
SC38D!,gallery,"""Charleston”",
SC38D!,Charleston,,
SC38D!,gallery,"""Charleston”",
SC38D!,stoop,"""step-mother from Virginia”",
SC38D!,step-mother from Virginia,,
SC38E!,NA,,
SC39A,porch,,
SC39A,porch,,
SC39A,piazza,,
SC39A,piazza,people used to call it,
SC39B!,piazza,in front; large,
SC39B!,piazza,in front; large,
SC39B!,piazza,in front; large,
SC39B!,piazza,in front; large,
SC39B!,front piazza,in front; large,
SC39B!,porch,small,
SC40A,porch,,
SC40A,back porch,,
SC40A,piazza,,
SC40A,piazza,later,
SC40A,back porch,,
SC40B,porch,,
SC40B,porch,,
SC40B,piazza,all the way around,
SC40B,piazza,all the way around,
SC40B,entrance,,
SC41A,piazza,,
SC41B,veranda,,
SC41B,veranda,,
SC41B,porch,more common [than veranda],
SC41B,porch,more common [than veranda],
SC41B,piazza,,
SC41B,piazza,,
SC41B,piazza,,
SC42N,front porch,,
SC42N,back piazza,,
SC42N,front veranda,,
SC42N,back veranda,,
SC42N,back porch,,
SC42N,piazza,,
SC42N,porch,,
SC42N,front veranda,,
SC42N,porch,,
SC42M,NR,,
SC42A,piazza,front or back,
SC42A,piazzas,front or back,
SC42B!,balcony,,
SC42B!,gallery,,
SC42B!,veranda,"railing, wide",
SC42B!,veranda,"railing, wide",
SC42B!,piazza,as children,
SC42B!,porch,,
SC42C!,porch,most natural,
SC42C!,stoop,"very small (apartment houses), 1'-2' wide",
SC42C!,piazza,= porch,
SC42C!,piazza,= porch,
SC42C!,portico,,
SC42C!,stoop,"very small (apartment houses), 1'-2' wide",
SC42C!,gallery,"""gallery is something upstairs”",
SC42C!,porch,,
SC42C!,piazza,= porch,
SC42C!,piazza,= porch,
SC42C!,gallery is something upstairs,,
SC42C!,veranda,rare; occasionally used,
SC42D!,porch,,
SC42D!,back porch,,
SC42D!,piazza,,
SC42E!,porch,,
SC42E!,piazza,usually,
SC42E!,steps,on most houses,
SC43A,NA,,
SC43B,porch,same [as piazza],
SC43B,porch,same [as piazza],
SC43B,back porch,,
SC43B,piazza,same thing [as porch],
SC43C,piazza,,
SC43C,piazza,,
SC43C,piazza,,
SC43C,piazza,,
SC43C,terrace,,
SC43C,corridor,= breezeway,
SC44A,front porch,,
SC44A,piazza,,
SC44A,piazzas,,
SC44A,shed,,
SC44A,shed,,
SC44B,piazza,,
SC44B,piazza,,
SC44B,piazza,,
SC44B,porch,,
SC44B,veranda,,
GA1N,porch,,
GA1N,porch,,
GA1N,stoop,,
GA1N,patio,"= ""upstairs”",
GA1N,breezy,"""breezeway” not here",
GA1N,upstairs,,
GA1A,porches,,
GA1A,piazza,"small, on back",
GA1A,piazza,"small, on back",
GA1A,stoop,,
GA1A,porch,,
GA1A,front shed,natural,
GA1A,piazza,less used,
GA1A,stoop,often of back porch,
GA1A,piazzas,"small, on back",
GA1B,porch,,
GA1B,porch,,
GA1B,veranda,larger [than porch],
GA1B,stoops,not big,
GA1B,piazza,,
GA1C,piazza,on back,
GA1C,piazza,on back,
GA1C,porch,comparatively little; on front,
GA1C,stoop,,
GA1D,front porches,columns,
GA1D,porch,,
GA1D,piazzas,,
GA1D,stoop,"small, front; tenement homes",
GA1E,stoop,,
GA1E,porch,,
GA1E,veranda,,
GA1E,piazza,,
GA1E,gallery,,
GA1E,high stoop houses,,
GA1F!,porch,small,
GA1F!,piazza,"long, broad",
GA1F!,stoop,small,
GA1F!,veranda,"long, narrow; on any floor",
GA1F!,balcony,no posts; on upper floor,
GA1G!,piazza,,
GA1G!,porch,,
GA1G!,stoop,smaller place [than porch],
GA1G!,front steps,,
GA1H!,piazza,,
GA1H!,piazza,,
GA1H!,piazzas,,
GA1H!,porch,,
GA1H!,porches,,
GA1H!,veranda,,
GA1H!,gallery,Charleston,
GA2N,front shed,,
GA2N,stoop,back,
GA2N,back shed,,
GA2A,front piazza,,
GA2A,porch,,
GA2A,stoop,smaller [than porch],
GA2A,upper story,,
GA2B,porch,,
GA2B,back porch,,
GA2B,piazza,,
GA2B,stoop,small,
GA2B,shed room,,
GA2B,breezeway,wife's word to describe porch? house proper to kitchen; north and central Georgia,
GA3A,veranda,,
GA3A,front shed,,
GA3A,porch,small,
GA3A,piazza,,
GA3B,front porch,,
GA3B,shed,,
GA3B,back porch,,
GA3B,piazza,,
GA3B,stoops,,
GA4N,porch,,
GA4N,piazza,,
GA4N,stoop,small,
GA4A,piazza,,
GA4A,piazza,,
GA4A,back piazza,,
GA4A,porch,smaller [than piazza]; not the same as piazza,
GA4A,porch,smaller [than piazza]; not the same as piazza,
GA4A,stoop,"""call 'em now”; = porch; not the same as piazza",
GA4B,veranda,,
GA4B,piazza,,
GA4B,stoop,in town,
GA4B,galleries,"""country people out in woods”",
GA4B,back porch,,
GA4B,porch,,
GA4C!,porch,same [as piazza]: long and narrow,
GA4C!,piazzas,"""some call 'em”",
GA4C!,piazza,same [as porch]: long and narrow,
GA4C!,gallery,upstairs,
GA4C!,porch,,
GA4C!,kitchen porch,,
GA4C!,stoop,Savannah,
GA5A,back porch,,
GA5A,front porch,,
GA5A,porches,,
GA5A,veranda,,
GA5A,piazza,rarely,
GA5A,stoop,few houses,
GA5B,porch,,
GA5C,porch,,
GA5C,piazza,,
GA5C,stoop,smaller [than porch],
GA5D!,back piazza,,
GA5D!,front piazza,,
GA5D!,entry,just inside,
GA5D!,piazzas,,
GA5D!,side piazza,none on north side,
GA5D!,stoop,,
GA5D!,veranda,more in Savannah than in Brunswick,
GA5E!,back porch,"usual name; ""lamps were kept”",
GA5E!,front porch,"usual name; ""lamps were kept”",
GA5E!,porches,,
GA5E!,stoop,hear it now; not heard locally as a boy,
GA5E!,lamps were kept,,
GA6A,piazza,,
GA6A,back porch,if at back,
GA6A,steps,,
GA6A,platform,house to kitchen,
GA6A,porch,,
GA6B!,porch,front or rear; small even if up or down,
GA6B!,porch,front or rear; small even if up or down,
GA6B!,piazza,large; together on two sides,
GA6B!,stoop,,
GA7,porch,,
GA7,kitchen porch walk,,
GA7,porch,,
GA7,piazza,,
GA7,piazza,[{ə̣}]: doubtful,
GA8A,porch,,
GA8A,shed,"""crackers”",
GA8A,veranda,,
GA8A,little porch,,
GA8A,stoop,,
